Plot,PC1,PC2,PC3,,plotStatus
157,-4.047629447,-3.323809399,-0.859327267,,Moderately Invaded
158,-4.765042213,-2.03361292,-0.700328889,,Moderately Invaded
159,-4.838063898,-2.286569503,-0.987797126,,Moderately Invaded
160,-4.355938021,-2.559231242,-1.48616074,,Moderately Invaded
161,-4.031932672,-3.239605064,-1.254647299,,Moderately Invaded
162,-2.250934826,0.610305313,-0.527029939,,Moderately Invaded
163,5.610826586,2.785532375,0.988179219,,Moderately Invaded
164,8.276154525,2.064554849,0.471823843,,Moderately Invaded
165,10.57437317,0.762024932,0.510770387,,Moderately Invaded
166,0.89219096,2.655511266,1.090907893,,Moderately Invaded
167,1.429862231,2.53911462,1.14976552,,Moderately Invaded
168,3.82589328,-0.181515768,9.615003308,,Moderately Invaded
169,0.606642742,2.416144764,1.028356282,,Moderately Invaded
170,4.867677684,-0.603382709,10.5949106,,Moderately Invaded
171,-0.198719474,2.249725881,0.966150426,,Moderately Invaded
172,2.80999138,2.869133502,1.524133884,,Moderately Invaded
173,1.958959371,2.990289742,1.305977436,,Moderately Invaded
174,-3.776798329,-3.508974927,-0.559450953,,Moderately Invaded
175,-0.709712869,1.945520118,0.453435369,,Moderately Invaded
176,-2.272011952,1.391716033,0.285239174,,Moderately Invaded
177,-0.00310871,2.117613305,0.79365419,,Moderately Invaded
178,-0.153826107,1.758046815,0.710040812,,Moderately Invaded
179,-0.856083825,1.84273695,0.449324196,,Moderately Invaded
180,-3.266033278,0.980199764,0.106215769,,Moderately Invaded
181,2.700658233,2.236741576,1.096641152,,Moderately Invaded
182,-0.757404458,1.694457534,0.458022857,,Moderately Invaded
183,-3.797615516,0.718948842,0.056174187,,Moderately Invaded
184,-2.206396049,1.204436259,0.11740914,,Moderately Invaded
185,-0.508803893,1.670700373,0.234124193,,Moderately Invaded
186,-1.248134807,1.548831374,0.284256161,,Moderately Invaded
187,-2.083930643,1.207382199,0.097214681,,Moderately Invaded
188,-1.480134276,1.504948966,0.295997515,,Moderately Invaded
189,-1.070555793,1.597118942,0.078113999,,Moderately Invaded
190,-1.780413992,1.399274662,0.121440486,,Moderately Invaded
191,-0.795345187,1.764289163,0.611884919,,Moderately Invaded
192,1.246654084,2.26878187,0.488281933,,Moderately Invaded
193,-2.528212304,1.266177393,0.292157541,,Moderately Invaded
194,-0.917923522,1.779240426,0.360839105,,Moderately Invaded
195,-3.201643427,0.991379556,0.255570656,,Moderately Invaded
196,-1.382431102,1.638078641,0.216714525,,Moderately Invaded
197,-2.168557328,1.267575648,0.29384791,,Moderately Invaded
198,-0.86111572,1.534034152,0.25084576,,Moderately Invaded
199,-3.05543079,1.044705685,0.135202669,,Moderately Invaded
200,-2.475199374,1.178711407,0.089655673,,Moderately Invaded
201,-2.016406864,1.313507799,0.418609446,,Moderately Invaded
202,-0.510383357,1.643591591,0.385581704,,Moderately Invaded
203,-2.782530606,1.210594497,0.2818288,,Moderately Invaded
204,-1.763498632,1.452309881,0.288950574,,Moderately Invaded
205,-3.35689156,0.924680696,0.155958832,,Moderately Invaded
206,-1.653482069,1.450766181,0.010930537,,Moderately Invaded
207,-6.54301237,-0.361416312,-0.184094673,,Moderately Invaded
208,-6.602833135,-0.357923484,-0.158686837,,Moderately Invaded
209,-5.056467657,0.15106563,0.025526534,,Moderately Invaded
210,-5.532312071,-0.05730083,-0.320743148,,Moderately Invaded
211,-5.304567382,0.028374237,-0.274375778,,Moderately Invaded
212,-3.864426026,0.71380152,0.01631716,,Moderately Invaded
213,-5.002919093,-0.152547182,-0.070562717,,Moderately Invaded
214,-3.764906846,0.180862009,0.127848302,,Moderately Invaded
215,-3.957899508,0.086704141,0.130060017,,Moderately Invaded
216,-5.271512176,-0.359823084,-0.504413694,,Moderately Invaded
217,-3.955415516,0.243448617,-0.237887439,,Moderately Invaded
218,-4.485861375,-0.108883122,-0.463716355,,Moderately Invaded
219,-5.239490662,-2.68968057,-1.67643257,,Moderately Invaded
220,-2.359947609,1.364984736,0.482656379,,Moderately Invaded
221,-1.496452401,1.732117945,0.407203569,,Moderately Invaded
222,-0.749449135,-0.347001599,0.234586345,,Moderately Invaded
223,0.618269223,-1.306897591,0.903651967,,Moderately Invaded
224,-5.097861023,-0.43005988,-0.41845169,,Moderately Invaded
225,-5.734113042,-0.165893578,-0.35881411,,Moderately Invaded
226,-6.053141503,-0.673776559,-0.490239009,,Moderately Invaded
227,-4.618391525,-0.558873248,-0.428121406,,Moderately Invaded
228,-5.532033881,-0.812999547,-0.528027852,,Moderately Invaded
229,6.638366247,1.521994659,-0.392806276,,Moderately Invaded
230,-3.208660866,0.631301972,-0.211283839,,Moderately Invaded
231,-4.326968845,0.358316593,-0.234271884,,Moderately Invaded
232,-2.461126192,0.965115025,-0.085057448,,Moderately Invaded
233,-1.334321508,1.321669141,-0.228651798,,Moderately Invaded
234,-1.104333066,1.316668765,-0.011076947,,Moderately Invaded
235,-4.93142665,0.044182596,-0.376065489,,Moderately Invaded
236,-4.543640875,0.400957679,-0.289355219,,Moderately Invaded
237,-2.279545064,-1.241209231,-0.793184848,,Moderately Invaded
238,-5.075825885,-0.634441378,-0.287091421,,Moderately Invaded
239,-5.294484519,-0.34729074,-0.102152307,,Moderately Invaded
240,-5.207109718,-0.27142808,-0.004559391,,Moderately Invaded
241,-4.614075087,0.01673933,0.175524602,,Moderately Invaded
242,-1.689441213,0.793967383,-0.262920336,,Moderately Invaded
243,-1.574208982,0.982917968,-0.074858864,,Moderately Invaded
244,-2.227436797,0.639190482,-0.275213026,,Moderately Invaded
245,-3.164723444,0.486845891,-0.238592623,,Moderately Invaded
246,-1.555588763,0.991043651,-0.12041894,,Moderately Invaded
247,-2.214746236,0.623699132,-0.253199072,,Moderately Invaded
248,1.034600445,1.521228714,0.205750653,,Moderately Invaded
249,-3.301750034,-0.125635113,0.814206176,,Moderately Invaded
250,-3.751623439,-0.352345567,0.299194032,,Moderately Invaded
251,-5.91710855,-0.973804876,-0.386941117,,Moderately Invaded
252,-5.917814083,-0.967297667,-0.194826189,,Moderately Invaded
253,-6.592825376,-1.017472733,-0.251559517,,Moderately Invaded
254,-5.59541758,-0.884276512,-0.301992738,,Moderately Invaded
