plotID,Year,Status,pcentCover,rootC_cwm,rootN_cwm,CNratio_cwm,MI_cwm,diameter_cwm,SRL_cwm,RMF_cwm,RD_cwm,RTD_cwm
CPER_003,2021,NI,0.5,417.0936586,14.21282053,19.64076254,72.41763538,0.126208333,224.6574225,0.184742859,8.318445196,0.43647638
CPER_004,2021,N,41.58333333,394.04829,11.75156507,27.19372032,108.4107558,0.163344388,93.47300091,0.417683498,50.2808049,0.379891925
CPER_005,2021,I,34.25,415.2857236,7.386165672,57.78140674,41.29981958,0.448921717,40.54984803,0.420324029,56.75114616,0.131122739
CPER_005,2021,N,44,369.4221798,10.71358199,29.86149408,120.6400695,0.169419945,100.2483541,0.411837295,48.94161637,0.266345814
CPER_006,2021,I,1,389.0611441,14.89052301,0.572837924,24.81484498,0.122419913,501.8864338,0.291052092,13.38844666,0.384470742
CPER_006,2021,N,65.43333334,435.241783,13.69982833,29.51184592,120.7990931,0.180551263,75.68106995,0.364517843,63.34391716,0.437114457
CPER_006,2021,NI,0.5,417.0936586,14.21282053,19.64076254,72.41763538,0.126208333,224.6574225,0.184742859,8.318445196,0.43647638
CPER_045,2021,N,31.8,420.9713218,13.16157316,32.78841511,168.3140094,0.141576079,92.3643918,0.369163974,66.50874078,0.41947341
CPER_046,2021,N,35.06666667,387.9141537,10.99693848,30.08055292,140.9728679,0.1655502,83.46498191,0.396046184,57.91347989,0.344846345
CPER_046,2021,NI,0.5,417.0936586,14.21282053,19.64076254,72.41763538,0.126208333,224.6574225,0.184742859,8.318445196,0.43647638
CPER_047,2021,N,37.475,357.6224229,10.05406009,38.33797068,243.2565007,0.095123333,76.054628,0.429436952,78.82365165,0.337876152
GRSM_001,2021,N,115.8083333,456.9335429,12.51900028,47.30606973,47.28354153,0.571378522,31.34407846,0.278077515,103.6135914,0.176201285
GRSM_002,2021,N,87.25000001,467.3674981,6.16319472,24.35970858,40.25803891,0.504940935,14.97685615,0.215230162,71.07227545,0.288541295
GRSM_003,2021,N,80.58333334,421.2516176,14.32982567,73.37985611,44.9939869,0.47341372,43.46331524,0.364642047,162.9631442,0.253288728
GRSM_006,2021,N,119.1666667,427.0017818,11.10039079,56.52767841,43.16766308,0.484597528,34.66549299,0.383286936,153.605297,0.268980947
GRSM_007,2021,N,87.5,380.1413562,15.26405738,122.3497401,64.98874216,0.342749083,43.29500949,0.560020674,98.75045086,0.941454164
GRSM_016,2021,N,35.1,398.8385028,11.57752366,23.07529786,31.57380365,0.525905563,18.251919,0.374078958,124.7817587,0.515357579
GRSM_055,2021,I,0.5,517.4998017,10.72012504,26.34145506,44.04665596,0.816182816,93.26189292,0.063175546,1.851732405,0.094456831
GRSM_055,2021,N,150.7666667,443.1758476,15.72745632,174.3922097,55.7823551,0.58693921,56.79389199,0.268359822,89.05033965,0.217672101
GRSM_058,2021,N,63.96666667,423.8521843,13.71392338,18.89771623,31.72799704,0.446020082,85.73903212,0.328780689,140.5744147,0.205787269
GRSM_059,2021,N,163.1833333,449.0907752,7.062140088,32.53159591,50.61116708,0.477852902,20.72068902,0.280041809,56.01540558,0.358028026
HARV_001,2021,N,12.33333333,430.6797712,10.79881458,155.4537777,57.00576641,0.328472121,89.97073958,0.345393183,67.53796144,0.336740334
HARV_002,2021,N,34.33333333,439.5907529,9.698221883,89.33969306,59.65721291,0.298993466,88.66949965,0.435095128,77.70286531,0.396109231
HARV_004,2021,I,0.5,442.9999998,12.4,29.03273461,35.76647919,0.816398164,46.79999999,0.291183061,43.29713691,0.33
